Schema,Table,Type,Column,DataType,Length,Nullable
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_NUM_LOCATIONS,DOUBLE,-,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_HR_CONTACTS,DOUBLE,-,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_SALES_CONTACTS,DOUBLE,-,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_MARKETING_CONTACTS,DOUBLE,-,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_FINANCE_CONTACTS,DOUBLE,-,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_C_SUITE_CONTACTS,DOUBLE,-,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_ENGINEERING_CONTACTS,DOUBLE,-,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_IT_CONTACTS,DOUBLE,-,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_OPERATIONS_CONTACTS,DOUBLE,-,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_LEGAL_CONTACTS,DOUBLE,-,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_MEDICAL_CONTACTS,DOUBLE,-,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_TECH_IDS,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_LATEST_FUNDING_AGE,DOUBLE,-,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_NUM_OF_INVESTORS,DOUBLE,-,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_INVESTOR_NAMES,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_FUNDING_STRENGTH,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_FUNDING_TYPE,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_TOTAL_FUNDING_AMOUNT,DOUBLE,-,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_LATEST_FUNDING_AMOUNT,DOUBLE,-,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_LATEST_FUNDING_DATE,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_NUM_FUNDING_ROUNDS,DOUBLE,-,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_IS_FORTUNE_100,DOUBLE,-,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_IS_FORTUNE_500,DOUBLE,-,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_IS_S_AND_P_500,DOUBLE,-,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_LAST_UPDATED_DATE,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_RELEASE_DATE,DOUBLE,-,YES
alteryx,alteryx_gong_call,VIEW,gong_call_id,STRING,0,YES
alteryx,alteryx_gong_call,VIEW,gong_call_brief,STRING,0,YES
alteryx,alteryx_gong_call,VIEW,gong_call_call_outcome_category,STRING,0,YES
alteryx,alteryx_gong_call,VIEW,gong_call_call_outcome_id,STRING,0,YES
